en,zh,category,aliases
Access Point,接入点,wireless,AP
Access Port,接入端口,switching,
Adjacency,邻接关系,routing,
Administrative Distance,管理距离,routing,AD
Aggregation,聚合,routing,
Anycast,任播,ip,
Area Border Router,区域边界路由器,ospf,ABR
ARP,地址解析协议,ip,Address Resolution Protocol
Autonomous System,自治系统,bgp,AS
Authentication,认证,security,
Backup Designated Router,备份指定路由器,ospf,BDR
Bandwidth,带宽,general,
BGP,边界网关协议,bgp,Border Gateway Protocol
Bidirectional Forwarding Detection,双向转发检测,routing,BFD
Blocking State,阻塞状态,switching,
Bootstrap Router,自举路由器,multicast,BSR
BPDU,桥协议数据单元,switching,Bridge Protocol Data Unit
Bridge,网桥,switching,
Broadcast Domain,广播域,switching,
Broadcast Storm,广播风暴,switching,
Bundle,捆绑,switching,
CAM Table,内容寻址表,switching,
Capture,抓包,troubleshooting,
CEF,思科快速转发,routing,Cisco Express Forwarding
Checksum,校验和,general,
CIDR,无类域间路由,ip,Classless Inter-Domain Routing
Collision Domain,冲突域,switching,
Community,团体属性,bgp,
Confederation,联盟,bgp,
Congestion,拥塞,qos,
Control Plane,控制平面,architecture,
Convergence,收敛,routing,
Cost,开销,routing,
Data Plane,数据平面,architecture,
Default Gateway,默认网关,ip,
Default Route,默认路由,routing,
Designated Router,指定路由器,ospf,DR
Designated Port,指定端口,switching,
DHCP,动态主机配置协议,services,Dynamic Host Configuration Protocol
DHCP Relay,DHCP 中继,services,
Distance Vector,距离矢量,routing,
Distribute List,分发列表,routing,
DMVPN,动态多点 VPN,vpn,Dynamic Multipoint VPN
DNS,域名系统,services,Domain Name System
Downstream,下游,general,
DR Priority,DR 优先级,ospf,
DTP,动态中继协议,switching,Dynamic Trunking Protocol
Dual-Homed,双归属,design,
Duplex,双工,switching,
EIGRP,增强型内部网关路由协议,eigrp,Enhanced Interior Gateway Routing Protocol
Encapsulation,封装,general,
Encryption,加密,security,
Equal-Cost Multi-Path,等价多路径,routing,ECMP
Ethernet,以太网,switching,
EtherChannel,以太通道,switching,
External Route,外部路由,routing,
